"player_name","player_year","player_Rk","player_Pk","player_Tm","player_College","player_Yrs","player_G","player_MP","player_PTS","player_TRB","player_AST","player_FG","player_FT","player_WS","player_WS48","player_BPM","player_selection6","player_VORP","player_P3"
"Cazzie Russell","1966 NBA Draft","1","1","NYK","Michigan","12","817","27.2","15.1","3.8","2.2",".464",".827","51.7",".112","-0.5","3.3","3.3",""
"Dave Bing","1966 NBA Draft","2","2","DET","Syracuse","12","901","36.4","20.3","3.8","6.0",".441",".775","68.8",".101","-0.3","5.6","5.6",""
"Clyde Lee","1966 NBA Draft","3","3","SFW","Vanderbilt","10","742","26.8","7.7","10.3","1.1",".432",".614","33.5",".081","-2.3","-0.4","-0.4",""
"Lou Hudson","1966 NBA Draft","4","4","STL","Minnesota","13","890","33.5","20.2","4.4","2.7",".489",".797","81.0",".131","0.4","6.8","6.8",""
"Jack Marin","1966 NBA Draft","5","5","BAL","Duke","11","849","29.0","14.8","5.2","2.1",".465",".843","59.3",".116","-1.7","0.5","0.5",""
"Walt Wesley","1966 NBA Draft","6","6","CIN","Kansas","10","590","17.5","8.5","5.5","0.7",".434",".630","9.5",".044","-2.7","-0.1","-0.1",""
"Jerry Chambers","1966 NBA Draft","7","7","LAL","Utah","4","239","15.4","8.1","3.1","0.8",".442",".747","2.8",".037","","","",""
"Jim Barnett","1966 NBA Draft","8","8","BOS","Oregon","11","732","23.8","11.7","3.1","3.0",".435",".797","33.2",".092","-1.1","1.1","1.1",""
"Matt Guokas","1966 NBA Draft","9","9","PHI","Saint Joseph's","10","735","22.6","5.8","2.0","3.0",".489",".727","26.7",".077","-1.8","0.2","0.2",""
"Dave Schellhase","1966 NBA Draft","10","10","CHI","Purdue","2","73","7.0","2.8","1.0","0.8",".349",".567","-0.6","-.061","","","",""
"Henry Akin","1966 NBA Draft","11","11","NYK","Morehead State University","2","86","8.3","3.5","2.1","0.5",".351",".676","-1.2","-.084","","","",""
"Dorie Murrey","1966 NBA Draft","12","12","DET","Detroit Mercy","6","357","12.6","4.7","4.4","0.6",".425",".679","6.5",".070","","","",""
"Joe Ellis","1966 NBA Draft","13","13","SFW","San Francisco","8","524","19.8","8.8","5.1","1.4",".398",".727","5.0",".023","-4.0","-0.3","-0.3",""
"Dick Snyder","1966 NBA Draft","14","14","STL","Davidson","13","964","26.6","12.2","2.8","2.9",".488",".824","58.3",".109","0.1","5.4","5.4",""
"Neil Johnson","1966 NBA Draft","15","15","BAL","Creighton","4","202","11.2","4.0","3.4","1.1",".426",".613","2.0",".042","","","",""
"Jerry Lee Wells","1966 NBA Draft","16","16","CIN","Oklahoma City University","","","","","","","","","","","","","",""
"Hank Finkel","1966 NBA Draft","17","17","LAL","Dayton","9","551","12.5","5.1","3.9","0.8",".449",".662","13.5",".094","-3.0","-0.2","-0.2",""
"Leon Clark","1966 NBA Draft","18","18","BOS","Wyoming","","","","","","","","","","","","","",""
"Bill Melchionni","1966 NBA Draft","19","19","PHI","Villanova","2","144","10.1","4.4","1.4","1.4",".412",".673","1.0",".033","","","",""
"Erwin Mueller","1966 NBA Draft","20","20","CHI","San Francisco","6","425","22.4","7.6","4.8","2.0",".429",".627","9.6",".048","","","",""
"Stew Johnson","1966 NBA Draft","21","21","NYK","Murray State","","","","","","","","","","","","","",""
"Ollie Darden","1966 NBA Draft","22","22","DET","Michigan","","","","","","","","","","","","","",""
"Stephen Chubin","1966 NBA Draft","23","23","SFW","Rhode Island","","","","","","","","","","","","","",""
"Tommy Kron","1966 NBA Draft","24","24","STL","Kentucky","3","184","17.1","6.5","3.3","2.8",".389",".753","1.8",".028","","","",""
"Dave Wagnon","1966 NBA Draft","25","25","BAL","Idaho State University","","","","","","","","","","","","","",""
"Jim Ware","1966 NBA Draft","26","26","CIN","Oklahoma City University","2","63","6.8","2.3","2.3","0.2",".284",".647","-1.1","-.125","","","",""
"John Block","1966 NBA Draft","27","27","LAL","USC","10","597","24.0","11.9","6.6","1.3",".433",".778","32.7",".110","-0.8","0.8","0.8",""
"Gary Turner","1966 NBA Draft","28","28","BOS","TCU","","","","","","","","","","","","","",""
"Donnie Freeman","1966 NBA Draft","29","29","PHI","Illinois","1","64","23.1","10.8","2.8","2.7",".434",".819","2.4",".078","-1.5","0.2","0.2",""
"Ed Bodkin","1966 NBA Draft","30","30","CHI","Eastern Kentucky University","","","","","","","","","","","","","",""
"Lee DeFore","1966 NBA Draft","31","31","NYK","Auburn","","","","","","","","","","","","","",""
"Jeffrey Congdon","1966 NBA Draft","32","32","DET","BYU","","","","","","","","","","","","","",""
"Stephen Vacendak","1966 NBA Draft","33","33","SFW","Duke","","","","","","","","","","","","","",""
"Bob McIntyre","1966 NBA Draft","34","34","STL","St. John's","","","","","","","","","","","","","",""
"George Peeples","1966 NBA Draft","35","35","BAL","Iowa","","","","","","","","","","","","","",""
"Charles Schmaus","1966 NBA Draft","36","36","CIN","Virginia Military Institute","","","","","","","","","","","","","",""
"Archie Clark","1966 NBA Draft","37","37","LAL","Minnesota","10","725","32.5","16.3","3.3","4.8",".480",".769","64.7",".132","-0.4","2.4","2.4",""
"Johnny Austin","1966 NBA Draft","38","38","BOS","Boston College","1","4","15.3","5.8","1.8","1.0",".227",".813","-0.1","-.043","","","",""
"Ken Wilburn","1966 NBA Draft","39","39","PHI","Central State University","1","7","5.7","2.6","1.9","0.4",".471",".250","0.0",".038","","","",""
"Jim Williams","1966 NBA Draft","40","40","CHI","Temple","","","","","","","","","","","","","",""
"Ron Jackson","1966 NBA Draft","41","41","NYK","Clark Atlanta University","","","","","","","","","","","","","",""
"William Pickens","1966 NBA Draft","42","42","DET","Georgia Southern University","","","","","","","","","","","","","",""
"Tom Kerwin","1966 NBA Draft","43","43","SFW","Centenary (LA)","","","","","","","","","","","","","",""
"Dick Nemelka","1966 NBA Draft","44","44","STL","BYU","","","","","","","","","","","","","",""
"John Beasley","1966 NBA Draft","45","45","BAL","Texas A&M","","","","","","","","","","","","","",""
"John Jones","1966 NBA Draft","46","46","BAL","LSU","","","","","","","","","","","","","",""
"Richard Parks","1966 NBA Draft","47","47","CIN","Saint Louis","","","","","","","","","","","","","",""
"Stan Washington","1966 NBA Draft","48","48","LAL","Michigan State","","","","","","","","","","","","","",""
"Tom Duff","1966 NBA Draft","49","49","PHI","Saint Joseph's","","","","","","","","","","","","","",""
"Larry Humes","1966 NBA Draft","50","50","CHI","University of Evansville","","","","","","","","","","","","","",""
"George Fisher","1966 NBA Draft","51","51","NYK","Utah","","","","","","","","","","","","","",""
"Carroll Hooser","1966 NBA Draft","52","52","DET","SMU","","","","","","","","","","","","","",""
"Jim Pitts","1966 NBA Draft","53","53","SFW","Northwestern","","","","","","","","","","","","","",""
"Lonnie Wright","1966 NBA Draft","54","54","STL","Colorado State","","","","","","","","","","","","","",""
"Jeff Newman","1966 NBA Draft","55","55","BAL","Penn","","","","","","","","","","","","","",""
"Steve Cunningham","1966 NBA Draft","56","56","CIN","Western Kentucky","","","","","","","","","","","","","",""
"Keith Thomas","1966 NBA Draft","57","57","LAL","Vanderbilt","","","","","","","","","","","","","",""
"Charlie Hunter","1966 NBA Draft","58","58","BOS","Oklahoma City University","","","","","","","","","","","","","",""
"Red Robbins","1966 NBA Draft","59","59","PHI","Tennessee","","","","","","","","","","","","","",""
"Mike Dabich","1966 NBA Draft","60","60","NYK","New Mexico State","","","","","","","","","","","","","",""
"Ted Manning","1966 NBA Draft","61","61","DET","NC Central","","","","","","","","","","","","","",""
"Lon Hughey","1966 NBA Draft","62","62","SFW","Fresno State","","","","","","","","","","","","","",""
"Jay Neary","1966 NBA Draft","63","63","STL","UNC Wilmington","","","","","","","","","","","","","",""
"Dave Mills","1966 NBA Draft","64","64","BAL","DePaul","","","","","","","","","","","","","",""
"Gary Schull","1966 NBA Draft","65","65","CIN","Florida State","","","","","","","","","","","","","",""
"Tab Jackson","1966 NBA Draft","66","66","LAL","Albertson College of Idaho","","","","","","","","","","","","","",""
"Jerry Ward","1966 NBA Draft","67","67","BOS","Maryland","","","","","","","","","","","","","",""
"John Comeaux","1966 NBA Draft","68","68","CHI","Grambling State University","","","","","","","","","","","","","",""
"Mike Silliman","1966 NBA Draft","69","69","NYK","United States Military Academy","1","36","10.2","2.5","1.7","0.6",".456",".487","0.3",".037","","","",""
"George McNeil","1966 NBA Draft","70","70","DET","Southern Illinois","","","","","","","","","","","","","",""
"Ken Washington","1966 NBA Draft","71","71","SFW","UCLA","","","","","","","","","","","","","",""
"Brian Williams","1966 NBA Draft","72","72","STL","Xavier","","","","","","","","","","","","","",""
"Roland West","1966 NBA Draft","73","73","BAL","Cincinnati","1","4","3.5","1.0","1.3","0.0",".400","","0.0","-.003","","","",""
"Ron Krick","1966 NBA Draft","74","74","CIN","Cincinnati","","","","","","","","","","","","","",""
"John Wetzel","1966 NBA Draft","75","75","LAL","Virginia Tech","7","357","13.2","3.4","1.9","1.4",".429",".810","6.6",".068","-0.8","0.7","0.7",""
"Russ Gumina","1966 NBA Draft","76","76","BOS","San Francisco","","","","","","","","","","","","","",""
"Bill Curtis","1966 NBA Draft","77","77","CHI","Michigan State","","","","","","","","","","","","","",""
"Bill Turner","1966 NBA Draft","78","78","NYK","University of Akron","6","294","13.8","5.4","3.5","0.6",".407",".728","4.8",".057","","","",""
"Al Grant","1966 NBA Draft","79","79","STL","Long Island University","","","","","","","","","","","","","",""
"Chuck Gardner","1966 NBA Draft","80","80","BAL","Colorado","","","","","","","","","","","","","",""
"Billy Smith","1966 NBA Draft","81","81","CIN","Loyola Chicago","","","","","","","","","","","","","",""
"Julian Hammond","1966 NBA Draft","82","82","LAL","Tulsa","","","","","","","","","","","","","",""
"Pat Caldwell","1966 NBA Draft","83","83","PHI","Rockhurst University","","","","","","","","","","","","","",""
"Gene Summers","1966 NBA Draft","84","84","CHI","Northern Michigan University","","","","","","","","","","","","","",""
"Richard Moore","1966 NBA Draft","85","85","NYK","Hiram Scott College","","","","","","","","","","","","","",""
"Don Yates","1966 NBA Draft","86","86","STL","Minnesota","","","","","","","","","","","","","",""
"Guy Manning","1966 NBA Draft","87","87","BAL","Prairie View A&M University","","","","","","","","","","","","","",""
"Freddie Lewis","1966 NBA Draft","88","88","CIN","Arizona State","2","64","13.8","5.8","1.4","1.5",".401",".771","0.6",".031","-3.7","-0.2","-0.2",""
"Mike Rooney","1966 NBA Draft","89","89","LAL","Oklahoma","","","","","","","","","","","","","",""
"Bob Bedell","1966 NBA Draft","90","90","PHI","Stanford","","","","","","","","","","","","","",""
"Don Swanson","1966 NBA Draft","91","91","CHI","DePaul","","","","","","","","","","","","","",""
"Rich Dyer","1966 NBA Draft","92","92","NYK","NYU","","","","","","","","","","","","","",""
"Curt Gammell","1966 NBA Draft","93","93","STL","Pacific Lutheran University","","","","","","","","","","","","","",""
"Stan McKenzie","1966 NBA Draft","94","94","BAL","NYU","7","396","18.9","9.0","2.8","1.5",".444",".802","14.5",".093","-5.2","-0.1","-0.1",""
"R.B. Lynam","1966 NBA Draft","95","95","CIN","Oklahoma Baptist University","","","","","","","","","","","","","",""
"George Grams","1966 NBA Draft","96","96","LAL","Purdue","","","","","","","","","","","","","",""
"Carver Clinton","1966 NBA Draft","97","97","CHI","Penn State","","","","","","","","","","","","","",""
"Dave Deutsch","1966 NBA Draft","98","98","NYK","University of Rochester","1","19","4.9","1.1","1.1","0.8",".167",".450","-0.5","-.240","","","",""
"Lonnie Lynn","1966 NBA Draft","99","99","STL","Wilberforce University","","","","","","","","","","","","","",""
"Grant Simmons","1966 NBA Draft","100","100","BAL","Nebraska","","","","","","","","","","","","","",""
"Bob Bennett","1966 NBA Draft","101","101","NYK","UNC","","","","","","","","","","","","","",""
"Nick Aloi","1966 NBA Draft","102","102","STL","Bowling Green","","","","","","","","","","","","","",""
"Al Lopes","1966 NBA Draft","103","103","BAL","Kansas","","","","","","","","","","","","","",""
"Ollie Carter","1966 NBA Draft","104","104","STL","San Francisco","","","","","","","","","","","","","",""
"Jim Harter","1966 NBA Draft","105","105","BAL","University of Texas-Pan American","","","","","","","","","","","","","",""
"Paul Long","1966 NBA Draft","106","106","STL","Wake Forest","3","71","6.1","3.9","0.8","0.8",".464",".753","1.0",".111","","","",""
"Howard Bayne","1966 NBA Draft","107","107","BAL","Tennessee","","","","","","","","","","","","","",""
"Eddie Jackson","1966 NBA Draft","108","108","STL","Bradley","","","","","","","","","","","","","",""
"Ken Barnes","1966 NBA Draft","109","109","BAL","Wisconsin","","","","","","","","","","","","","",""
"Chris Pervall","1966 NBA Draft","110","110","BAL","Iowa","","","","","","","","","","","","","",""
"Jerry Trice","1966 NBA Draft","111","111","BAL","Weber State","","","","","","","","","","","","","",""
"Gene Visscher","1966 NBA Draft","112","112","BAL","Weber State","","","","","","","","","","","","","",""
"Jimmy Walker","1967 NBA Draft","1","1","DET","Providence","9","698","33.8","16.7","2.7","3.5",".461",".829","42.9",".087","-1.4","1.4","1.4",""
"Earl Monroe","1967 NBA Draft","2","2","BAL","Winston-Salem State","13","926","32.0","18.8","3.0","3.9",".464",".807","77.4",".125","0.8","9.8","9.8",""
"Clem Haskins","1967 NBA Draft","3","3","CHI","Western Kentucky","9","681","25.9","12.8","3.1","3.5",".449",".792","35.8",".097","-0.1","1.5","1.5",""
"Sonny Dove","1967 NBA Draft","4","4","DET","St. John's","2","57","7.0","3.1","2.0","0.4",".394",".581","0.0","-.003","","","",""
"Walt Frazier","1967 NBA Draft","5","5","NYK","Southern Illinois","13","825","37.5","18.9","5.9","6.1",".490",".786","113.5",".176","2.5","15.5","15.5",".000"
"Al Tucker","1967 NBA Draft","6","6","SEA","Oklahoma Baptist University","3","257","20.8","9.5","5.0","0.9",".453",".702","7.2",".065","","","",""
"Pat Riley","1967 NBA Draft","7","7","SDR","Kentucky","9","528","15.5","7.4","1.6","1.7",".414",".705","4.5",".026","-4.7","-2.2","-2.2",""
"Tom Workman","1967 NBA Draft","8","8","STL","Seattle University","2","43","4.3","2.5","1.2","0.1",".432",".711","0.4",".107","","","",""
"Mel Daniels","1967 NBA Draft","9","9","CIN","New Mexico","1","11","11.5","3.5","3.1","0.5",".371",".565","0.0","-.002","-4.3","-0.1","-0.1",""
"Dave Lattin","1967 NBA Draft","10","10","SFW","Texas-El Paso","2","112","11.1","4.5","3.8","0.6",".400",".644","0.7",".028","","","",""
"Mal Graham","1967 NBA Draft","11","11","BOS","NYU","2","70","12.7","4.7","1.7","1.1",".398",".657","0.8",".043","","","",""
"Craig Raymond","1967 NBA Draft","12","12","PHI","BYU","1","27","6.6","2.0","2.5","0.3",".344",".647","0.0","-.001","","","",""
"Jimmy Jones","1967 NBA Draft","13","13","BAL","Grambling State University","3","140","18.5","6.4","1.9","2.0",".505",".738","6.2",".115","-0.4","1.0","1.0",""
"Steve Sullivan","1967 NBA Draft","14","14","DET","Georgetown","","","","","","","","","","","","","",""
"Byron Beck","1967 NBA Draft","15","15","CHI","Denver","1","53","9.1","4.7","1.8","0.6",".435",".818","0.8",".078","-3.1","-0.1","-0.1",""
"Randolph Mahaffey","1967 NBA Draft","16","16","LAL","Clemson","","","","","","","","","","","","","",""
"Phil Jackson","1967 NBA Draft","17","17","NYK","University of North Dakota","12","807","17.6","6.7","4.3","1.1",".453",".736","29.3",".099","-0.9","2.4","2.4",".000"
"Bob Netolicky","1967 NBA Draft","18","18","SDR","Drake University","","","","","","","","","","","","","",""
"Bob Rule","1967 NBA Draft","19","19","SEA","Colorado State","8","403","29.4","17.4","8.3","1.5",".461",".686","22.7",".092","-3.1","-0.2","-0.2",""
"Malkin Strong","1967 NBA Draft","20","20","BAL","Seattle University","","","","","","","","","","","","","",""
"Darrell Hardy","1967 NBA Draft","21","21","DET","Baylor","","","","","","","","","","","","","",""
"John Dickson","1967 NBA Draft","22","22","CHI","Arkansas State University","","","","","","","","","","","","","",""
"Dwight Smith","1967 NBA Draft","23","23","LAL","Western Kentucky","","","","","","","","","","","","","",""
"Gary Gregor","1967 NBA Draft","24","24","NYK","South Carolina","4","296","25.0","9.8","7.0","1.5",".431",".715","2.6",".017","","","",""
"Bob Verga","1967 NBA Draft","25","25","STL","Duke","1","21","10.3","5.0","0.9","0.8",".452",".625","0.1",".032","-2.9","0.0","0.0",""
"Gary Gray","1967 NBA Draft","26","26","CIN","Oklahoma City University","1","44","6.3","2.4","0.5","0.6",".366",".700","-0.5","-.093","","","",""
"Bill Turner","1967 NBA Draft","27","27","SFW","University of Akron","6","294","13.8","5.4","3.5","0.6",".407",".728","4.8",".057","","","",""
"Sam Smith","1967 NBA Draft","28","28","CIN","Kentucky Wesleyan College","","","","","","","","","","","","","",""
"Richard Moore","1967 NBA Draft","29","29","SDR","Hiram Scott College","","","","","","","","","","","","","",""
"Sam Singleton","1967 NBA Draft","30","30","SEA","Nebraska-Omaha","","","","","","","","","","","","","",""
"Nick Jones","1967 NBA Draft","31","31","SDR","Oregon","3","188","12.0","5.3","1.1","1.3",".413",".772","2.1",".046","","","",""
"Al Salvadori","1967 NBA Draft","32","32","BAL","South Carolina","","","","","","","","","","","","","",""
"Ronald Franz","1967 NBA Draft","33","33","DET","Kansas","","","","","","","","","","","","","",""
"Jim Burns","1967 NBA Draft","34","34","CHI","Northwestern","","3","3.7","1.3","0.7","0.3",".286","","-0.1","-.248","","","",""
"Cliff Anderson","1967 NBA Draft","35","35","LAL","Saint Joseph's","3","81","7.2","3.0","1.3","0.8",".351",".593","0.3",".021","","","",""
"Keith Swagerty","1967 NBA Draft","36","36","NYK","University of the Pacific","","","","","","","","","","","","","",""
"Wesley Bialosuknia","1967 NBA Draft","37","37","STL","UConn","","","","","","","","","","","","","",""
"Louie Dampier","1967 NBA Draft","38","38","CIN","Kentucky","3","232","19.1","6.7","1.1","2.8",".488",".748","6.7",".073","-1.0","1.1","1.1",""
"Bobby Lewis","1967 NBA Draft","39","39","SFW","UNC","4","255","16.9","5.8","2.1","2.2",".381",".712","1.1",".012","","","",""
"Neville Shedd","1967 NBA Draft","40","40","BOS","Texas-El Paso","","","","","","","","","","","","","",""
"Ronald Kozlicki","1967 NBA Draft","41","41","SDR","Northwestern","","","","","","","","","","","","","",""
"Craig Dill","1967 NBA Draft","42","42","SDR","Michigan","","","","","","","","","","","","","",""
"Larry Bunce","1967 NBA Draft","43","43","SEA","Utah State University","","","","","","","","","","","","","",""
"Dexter Westbrook","1967 NBA Draft","44","44","BAL","Providence","","","","","","","","","","","","","",""
"Paul Long","1967 NBA Draft","45","45","DET","Wake Forest","3","71","6.1","3.9","0.8","0.8",".464",".753","1.0",".111","","","",""
"Dick Pruet","1967 NBA Draft","46","46","CHI","Jacksonville University","","","","","","","","","","","","","",""
"Joe Allen","1967 NBA Draft","47","47","LAL","Bradley","","","","","","","","","","","","","",""
"Barry Leibowitz","1967 NBA Draft","48","48","NYK","Long Island University","","","","","","","","","","","","","",""
"Mike Wittman","1967 NBA Draft","49","49","STL","Miami (FL)","","","","","","","","","","","","","",""
"Trooper Washington","1967 NBA Draft","50","50","CIN","Cheyney (PA)","","","","","","","","","","","","","",""
"Mike Lynn","1967 NBA Draft","51","51","SFW","UCLA","2","49","8.7","2.6","1.4","0.6",".329",".667","-0.3","-.035","","","",""
"Mike Redd","1967 NBA Draft","52","52","BOS","Kentucky Wesleyan College","","","","","","","","","","","","","",""
"Jim Reid","1967 NBA Draft","53","53","PHI","Winston-Salem State","1","6","8.7","3.5","1.8","0.5",".500",".200","0.1",".078","","","",""
"Plummer Lott","1967 NBA Draft","54","54","SEA","Seattle University","2","67","9.5","2.2","1.8","0.6",".294",".583","-1.3","-.101","","","",""
"Herb McPherson","1967 NBA Draft","55","55","SDR","Murray State","","","","","","","","","","","","","",""
"Bob Riedy","1967 NBA Draft","56","56","BAL","Duke","","","","","","","","","","","","","",""
"Vaughn Harper","1967 NBA Draft","57","57","DET","Syracuse","","","","","","","","","","","","","",""
"Marlbert Pradd","1967 NBA Draft","58","58","CHI","Dillard University","","","","","","","","","","","","","",""
"Gary Keller","1967 NBA Draft","59","59","LAL","Florida","","","","","","","","","","","","","",""
"Bob Benfield","1967 NBA Draft","60","60","NYK","West Virginia","","","","","","","","","","","","","",""
"John Morrison","1967 NBA Draft","61","61","STL","Canisius","","","","","","","","","","","","","",""
"Frank Stronczek","1967 NBA Draft","62","62","CIN","American International College","","","","","","","","","","","","","",""
"Dale Schlueter","1967 NBA Draft","63","63","SFW","Colorado State","10","586","16.4","5.3","5.2","1.6",".497",".678","20.8",".104","-1.0","0.7","0.7",""
"Ed Hummer","1967 NBA Draft","64","64","BOS","Princeton","","","","","","","","","","","","","",""
"Tim Powers","1967 NBA Draft","65","65","PHI","Creighton","","","","","","","","","","","","","",""
"Robert Cole","1967 NBA Draft","66","66","SDR","Saint Louis","","","","","","","","","","","","","",""
"Gordon Harris","1967 NBA Draft","67","67","SEA","Washington","","","","","","","","","","","","","",""
"Ron Perry","1967 NBA Draft","68","68","BAL","Virginia Tech","","","","","","","","","","","","","",""
"Bobby Lloyd","1967 NBA Draft","69","69","DET","Rutgers University","","","","","","","","","","","","","",""
"Bob Wolf","1967 NBA Draft","70","70","CHI","Marquette","","","","","","","","","","","","","",""
"Jamie Thompson","1967 NBA Draft","71","71","LAL","Wichita State","","","","","","","","","","","","","",""
"Butch Wade","1967 NBA Draft","72","72","NYK","Indiana State University","","","","","","","","","","","","","",""
"Carl Fuller","1967 NBA Draft","73","73","STL","Bethune-Cookman College","","","","","","","","","","","","","",""
"Charles Beasley","1967 NBA Draft","74","74","CIN","SMU","","","","","","","","","","","","","",""
"Sonny Bustion","1967 NBA Draft","75","75","SFW","Colorado State","","","","","","","","","","","","","",""
"Edgar Lacey","1967 NBA Draft","76","76","BOS","UCLA","","","","","","","","","","","","","",""
"Frank Card","1967 NBA Draft","77","77","PHI","South Carolina State","","","","","","","","","","","","","",""
"Dick Kolbert","1967 NBA Draft","78","78","SEA","UC Santa Barbara","","","","","","","","","","","","","",""
"Elbert Miller","1967 NBA Draft","79","79","SDR","UNLV","","","","","","","","","","","","","",""
"Ed Manning","1967 NBA Draft","80","80","BAL","Jackson State University","4","280","14.3","5.1","4.5","0.7",".423",".702","4.2",".050","","","",""
"George Carter","1967 NBA Draft","81","81","DET","St. Bonaventure","1","1","5.0","3.0","0.0","1.0",".500","1.000","0.0",".230","","","",""
"Leon Simon","1967 NBA Draft","82","82","CHI","College of Santa Fe","","","","","","","","","","","","","",""
"Don Carlos","1967 NBA Draft","83","83","LAL","Otterbein College","","","","","","","","","","","","","",""
"Gil Radday","1967 NBA Draft","84","84","NYK","St. Francis College","","","","","","","","","","","","","",""
"Arvesta Kelly","1967 NBA Draft","85","85","STL","Lincoln University of Missouri","","","","","","","","","","","","","",""
"Frank Hollendoner","1967 NBA Draft","86","86","CIN","Georgetown","","","","","","","","","","","","","",""
"Bob Krulish","1967 NBA Draft","87","87","SFW","University of the Pacific","","","","","","","","","","","","","",""
"Andrew Anderson","1967 NBA Draft","88","88","BOS","Canisius","","","","","","","","","","","","","",""
"Jim Conley","1967 NBA Draft","89","89","PHI","Virginia","","","","","","","","","","","","","",""
"Al Grundy","1967 NBA Draft","90","90","SDR","Saint Joseph's","","","","","","","","","","","","","",""
"Willie Wolters","1967 NBA Draft","91","91","SEA","Boston College","","","","","","","","","","","","","",""
"Robert Allen","1967 NBA Draft","92","92","BAL","University of Arkansas at Pine Bluff","","","","","","","","","","","","","",""
"Ernie Laurent","1967 NBA Draft","93","93","CHI","University of Albuquerque","","","","","","","","","","","","","",""
"Jay McMillon","1967 NBA Draft","94","94","LAL","Maryland","","","","","","","","","","","","","",""
"Ray Smith","1967 NBA Draft","95","95","NYK","Kansas State","","","","","","","","","","","","","",""
"Ed Biedenbach","1967 NBA Draft","96","96","STL","NC State","1","7","2.6","0.6","0.3","0.4",".000",".667","-0.1","-.248","","","",""
"Ron Sepic","1967 NBA Draft","97","97","CIN","Ohio State","","","","","","","","","","","","","",""
"Richard Dean","1967 NBA Draft","98","98","SFW","Syracuse","","","","","","","","","","","","","",""
"Henry Brown","1967 NBA Draft","99","99","BOS","University of Massachusetts Lowell","","","","","","","","","","","","","",""
"Ron Filipek","1967 NBA Draft","100","100","PHI","Tennessee Technological University","1","19","3.8","2.3","1.3","0.4",".383",".500","0.0","-.009","","","",""
"Roderick McDonald","1967 NBA Draft","101","101","SEA","Whitworth","","","","","","","","","","","","","",""
"Ron Coleman","1967 NBA Draft","102","102","SDR","Missouri","","","","","","","","","","","","","",""
"Bill Gillespie","1967 NBA Draft","103","103","BAL","Montana State","","","","","","","","","","","","","",""
"Jim Boshart","1967 NBA Draft","104","104","CHI","Wake Forest","","","","","","","","","","","","","",""
"Don Kruze","1967 NBA Draft","105","105","LAL","Houston","","","","","","","","","","","","","",""
"Bruce Kaplan","1967 NBA Draft","106","106","NYK","NYU","","","","","","","","","","","","","",""
"Rich Falkenbrush","1967 NBA Draft","107","107","STL","Saint Michael's College","","","","","","","","","","","","","",""
"Willie Davis","1967 NBA Draft","108","108","CIN","University of North Texas","","","","","","","","","","","","","",""
"Joe Galbo","1967 NBA Draft","109","109","SFW","San Francisco State University","","","","","","","","","","","","","",""
"Rick Weitzman","1967 NBA Draft","110","110","BOS","Northeastern University","1","25","3.0","1.3","0.4","0.3",".261",".692","-0.3","-.184","","","",""
"Butch Ervin","1967 NBA Draft","111","111","PHI","Niagara University","","","","","","","","","","","","","",""
"John Duncan","1967 NBA Draft","112","112","SDR","Murray State","","","","","","","","","","","","","",""
"Gary Lechman","1967 NBA Draft","113","113","SEA","Gonzaga","","","","","","","","","","","","","",""
"Bubba Smith","1967 NBA Draft","114","114","BAL","Michigan State","","","","","","","","","","","","","",""
"Jim Andros","1967 NBA Draft","115","115","CHI","University of New Haven","","","","","","","","","","","","","",""
"Nick Pino","1967 NBA Draft","116","116","LAL","Kansas State","","","","","","","","","","","","","",""
"Mark Merkin","1967 NBA Draft","117","117","NYK","UNC","","","","","","","","","","","","","",""
"Ken Callaway","1967 NBA Draft","118","118","CIN","Cincinnati","","","","","","","","","","","","","",""
"Bill Morgan","1967 NBA Draft","119","119","SFW","New Mexico","","","","","","","","","","","","","",""
"Joe Harrington","1967 NBA Draft","120","120","BOS","Maryland","","","","","","","","","","","","","",""
"Ted Campbell","1967 NBA Draft","121","121","PHI","North Carolina A&T","","","","","","","","","","","","","",""
"Randy Matson","1967 NBA Draft","122","122","SEA","Texas A&M","","","","","","","","","","","","","",""
"Al Razutis","1967 NBA Draft","123","123","SDR","Alliant International University","","","","","","","","","","","","","",""
"Tony Eaton","1967 NBA Draft","124","124","BAL","University of Texas-Pan American","","","","","","","","","","","","","",""
"George Dalzell","1967 NBA Draft","125","125","DET","Colgate","","","","","","","","","","","","","",""
"Ron Widby","1967 NBA Draft","126","126","CHI","Tennessee","","","","","","","","","","","","","",""
"Ben Monroe","1967 NBA Draft","127","127","LAL","New Mexico","","","","","","","","","","","","","",""
"Mike Riordan","1967 NBA Draft","128","128","NYK","Providence","9","639","24.9","9.9","2.9","2.4",".470",".744","33.2",".100","-1.1","1.8","1.8",""
"Frank Gadjunas","1967 NBA Draft","129","129","CIN","Villanova","","","","","","","","","","","","","",""
"David Fox","1967 NBA Draft","130","130","SFW","University of the Pacific","","","","","","","","","","","","","",""
"Hubie Marshall","1967 NBA Draft","131","131","PHI","La Salle","","","","","","","","","","","","","",""
"Martin Navia","1967 NBA Draft","132","132","SDR","New Mexico Highlands University","","","","","","","","","","","","","",""
"Rubin Russell","1967 NBA Draft","133","133","SEA","University of North Texas","","","","","","","","","","","","","",""
"Lyn Burkholder","1967 NBA Draft","134","134","BAL","South Carolina","","","","","","","","","","","","","",""
"Matthew Aitch","1967 NBA Draft","135","135","DET","Michigan State","","","","","","","","","","","","","",""
